Value,Points,Category,Year,,,,,,,
128,8,SB,,,,,,,,
127,7,SB,,,,,,,,
119,5.5,SB,,,,,,,,
119,5.5,SB,,,,,,,,
102,4,SB,,,,,,,,
101,3,SB,,,,,,,,
95,2,SB,,,,,,,,
84,1,SB,,,,,,,,
0.2846,18,AVG,,,,,,,,
0.2728,17,AVG,,,,,,,,
0.2708,16,AVG,,,,,,,,
0.2686,15,AVG,,,,,,,,
0.2673,14,AVG,,,,,,,,
0.2664,13,AVG,,,,,,,,
0.2653,12,AVG,,,,,,,,
0.2651,11,AVG,,,,,,,,
0.265,10,AVG,,,,,,,,
0.265,9,AVG,,,,,,,,
0.2649,8,AVG,,,,,,,,
0.2642,7,AVG,,,,,,,,
0.2632,6,AVG,,,,,,,,
0.2601,5,AVG,,,,,,,,
0.2594,4,AVG,,,,,,,,
0.256,3,AVG,,,,,,,,
0.2557,2,AVG,,,,,,,,
0.2549,1,AVG,,,,,,,,
0.2795,18,AVG,,,,,,,,
0.2727,17,AVG,,,,,,,,
0.2693,16,AVG,,,,,,,,
0.2693,15,AVG,,,,,,,,
0.268,14,AVG,,,,,,,,
0.2678,13,AVG,,,,,,,,
0.2661,12,AVG,,,,,,,,
0.2652,11,AVG,,,,,,,,
0.2651,10,AVG,,,,,,,,
0.2639,9,AVG,,,,,,,,
0.2625,8,AVG,,,,,,,,
0.2618,7,AVG,,,,,,,,
0.26,6,AVG,,,,,,,,
0.2599,5,AVG,,,,,,,,
0.2564,4,AVG,,,,,,,,
0.2551,3,AVG,,,,,,,,
0.2549,2,AVG,,,,,,,,
0.251,1,AVG,,,,,,,,
0.279,18,AVG,,,,,,,,
0.2755,17,AVG,,,,,,,,
0.2728,16,AVG,,,,,,,,
0.2715,15,AVG,,,,,,,,
0.2668,14,AVG,,,,,,,,
0.2653,13,AVG,,,,,,,,
0.2649,12,AVG,,,,,,,,
0.2631,11,AVG,,,,,,,,
0.2625,10,AVG,,,,,,,,
0.2615,9,AVG,,,,,,,,
0.2612,8,AVG,,,,,,,,
0.2611,7,AVG,,,,,,,,
0.2607,6,AVG,,,,,,,,
0.2604,5,AVG,,,,,,,,
0.258,4,AVG,,,,,,,,
0.2547,3,AVG,,,,,,,,
0.2538,2,AVG,,,,,,,,
0.2428,1,AVG,,,,,,,,
3.065,18,ERA,,,,,,,,
3.19,17,ERA,,,,,,,,
3.481,16,ERA,,,,,,,,
3.507,15,ERA,,,,,,,,
3.718,14,ERA,,,,,,,,
3.723,13,ERA,,,,,,,,
3.804,12,ERA,,,,,,,,
3.849,11,ERA,,,,,,,,
3.86,10,ERA,,,,,,,,
3.865,9,ERA,,,,,,,,
3.926,8,ERA,,,,,,,,
4.051,7,ERA,,,,,,,,
4.104,6,ERA,,,,,,,,
4.121,5,ERA,,,,,,,,
4.144,4,ERA,,,,,,,,
4.229,3,ERA,,,,,,,,
4.514,2,ERA,,,,,,,,
4.72,1,ERA,,,,,,,,
3.211,18,ERA,,,,,,,,
3.258,17,ERA,,,,,,,,
3.491,16,ERA,,,,,,,,
3.491,15,ERA,,,,,,,,
3.508,14,ERA,,,,,,,,
3.548,13,ERA,,,,,,,,
3.599,12,ERA,,,,,,,,
3.687,11,ERA,,,,,,,,
3.817,10,ERA,,,,,,,,
3.888,9,ERA,,,,,,,,
3.959,8,ERA,,,,,,,,
3.989,7,ERA,,,,,,,,
3.99,6,ERA,,,,,,,,
4.107,5,ERA,,,,,,,,
4.119,4,ERA,,,,,,,,
4.242,3,ERA,,,,,,,,
4.305,2,ERA,,,,,,,,
4.612,1,ERA,,,,,,,,
2.962,18,ERA,,,,,,,,
3.233,17,ERA,,,,,,,,
3.407,16,ERA,,,,,,,,
3.553,15,ERA,,,,,,,,
3.584,14,ERA,,,,,,,,
3.605,13,ERA,,,,,,,,
3.608,12,ERA,,,,,,,,
3.784,11,ERA,,,,,,,,
3.906,10,ERA,,,,,,,,
3.961,9,ERA,,,,,,,,
4.08,8,ERA,,,,,,,,
4.094,7,ERA,,,,,,,,
4.117,6,ERA,,,,,,,,
4.136,5,ERA,,,,,,,,
4.398,4,ERA,,,,,,,,
4.439,3,ERA,,,,,,,,
4.507,2,ERA,,,,,,,,
4.51,1,ERA,,,,,,,,
1476,18,K,,,,,,,,
1463,17,K,,,,,,,,
1390,16,K,,,,,,,,
1340,15,K,,,,,,,,
1338,14,K,,,,,,,,
1289,13,K,,,,,,,,
1274,12,K,,,,,,,,
1215,11,K,,,,,,,,
1172,10,K,,,,,,,,
1166,9,K,,,,,,,,
1135,7.5,K,,,,,,,,
1135,7.5,K,,,,,,,,
1116,6,K,,,,,,,,
1115,5,K,,,,,,,,
1043,4,K,,,,,,,,
1009,3,K,,,,,,,,
963,2,K,,,,,,,,
880,1,K,,,,,,,,
1370,18,K,,,,,,,,
1351,17,K,,,,,,,,
1342,16,K,,,,,,,,
1339,15,K,,,,,,,,
1308,14,K,,,,,,,,
1302,13,K,,,,,,,,
1299,12,K,,,,,,,,
1287,11,K,,,,,,,,
1262,10,K,,,,,,,,
1259,9,K,,,,,,,,
