"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Miguel Cabrera","Tigers","601","520","163","33","1","26","86","93","72","101","4","2","1"," ",".314",".398",".534",".932",".394"," ","151","-3.3","-1.0"," ","32.6","-12.5","4.2","1744"
"Kris Bryant","Cubs","632","549","150","29","3","31","87","96","70","179","8","11","6"," ",".273",".360",".507",".868",".373"," ","137","1.7","3.8"," ","29.1","4.2","5.6","15429"
"Josh Donaldson","Blue Jays","658","578","158","33","2","30","96","93","66","125","6","4","2"," ",".274",".352",".497",".849",".365"," ","131","0.2","9.5"," ","23.8","11.9","6.1","5038"
"Nolan Arenado","Rockies","631","584","169","38","3","29","83","97","37","93","4","4","3"," ",".289",".333",".516",".849",".358"," ","111","-0.6","11.5"," ","7.2","13.9","4.3","9777"
"Manny Machado","Orioles","664","598","170","35","2","27","91","86","54","99","4","14","8"," ",".285",".345",".484",".829",".356"," ","124","-0.4","15.5"," ","18.3","18.4","6.2","11493"
"Adrian Beltre","Rangers","581","532","155","28","2","19","71","82","40","71","4","1","1"," ",".291",".344",".462",".805",".345"," ","113","-0.5","6.9"," ","8.3","9.1","3.9","639"
"Matt Carpenter","Cardinals","669","573","154","37","3","16","88","62","80","128","7","5","3"," ",".269",".362",".426",".788",".345"," ","120","1.2","-5.1"," ","16.6","-2.6","3.7","8090"
"Mark Reynolds","Rockies","318","278","70","13","1","15","38","43","33","85","3","3","2"," ",".251",".333",".465",".798",".344"," ","101","-0.5","-1.0"," ","-0.2","-7.7","0.2","7619"
"Anthony Rendon","Nationals","588","519","144","33","2","15","76","61","55","102","6","6","4"," ",".277",".350",".438",".788",".343"," ","116","0.4","2.6"," ","11.6","4.7","3.7","12861"
"Kyle Seager","Mariners","630","564","150","32","1","22","76","80","53","101","6","7","4"," ",".265",".332",".443",".774",".334"," ","115","-0.6","2.5"," ","10.5","4.9","3.8","9785"
"Maikel Franco","Phillies","578","537","146","31","2","23","65","76","32","89","4","3","2"," ",".272",".315",".463",".778",".333"," ","110","0.0","-1.9"," ","6.8","-0.6","2.6","12179"
"Pedro Alvarez"," ","295","261","63","11","1","15","35","41","30","83","2","2","1"," ",".242",".321",".462",".784",".333"," ","110","-0.2","-2.9"," ","3.4","-8.8","0.4","2495"
"Ryan Zimmerman","Nationals","420","378","99","21","1","15","48","56","36","86","2","2","1"," ",".263",".328",".440",".768",".333"," ","110","-0.4","2.1"," ","4.4","-6.4","1.2","4220"
"Joey Gallo","Rangers","272","240","54","9","1","16","35","40","28","100","2","2","1"," ",".225",".307",".471",".779",".332"," ","104","0.3","2.4"," ","1.5","-2.2","0.9","14128"
"Pablo Sandoval","Red Sox","514","470","131","28","2","14","59","64","33","75","5","1","1"," ",".278",".330",".435",".765",".330"," ","104","-2.4","-3.9"," ","0.1","-1.8","1.6","5409"
"Todd Frazier","White Sox","633","569","142","30","1","27","77","87","51","130","8","13","8"," ",".250",".318",".448",".766",".330"," ","107","0.6","2.9"," ","6.1","5.3","3.4","785"
"Justin Turner","Dodgers","489","439","120","26","1","12","54","57","38","86","7","5","3"," ",".273",".338",".418",".756",".330"," ","112","-0.7","-2.6"," ","6.1","-0.7","2.2","5235"
"Mike Moustakas","Royals","582","526","138","31","1","19","67","71","42","81","7","2","2"," ",".262",".322",".435",".757",".328"," ","106","-1.1","3.5"," ","3.0","5.8","3.0","4892"
"David Wright","Mets","448","399","106","21","1","11","52","46","41","88","3","5","3"," ",".266",".337",".410",".747",".326"," ","111","-0.2","-0.1"," ","5.3","1.2","2.2","3787"
"Nick Castellanos","Tigers","569","521","140","29","4","16","62","68","39","124","3","3","2"," ",".269",".321",".431",".753",".325"," ","104","-1.7","-13.6"," ","0.9","-11.3","0.9","11737"
"Evan Longoria","Rays","650","584","150","30","1","24","74","84","55","132","6","3","2"," ",".256",".323",".434",".757",".325"," ","109","-0.4","8.4"," ","6.0","10.8","4.1","9368"
"Jung-ho Kang","Pirates","507","458","120","23","2","15","55","61","35","116","9","6","4"," ",".261",".323",".419",".742",".323"," ","107","0.6","1.1"," ","4.9","3.4","2.6","17182"
"Chase Headley","Yankees","551","487","126","25","1","14","58","60","50","119","7","3","2"," ",".258",".334",".401",".735",".323"," ","102","-0.4","2.5"," ","0.9","4.8","2.5","4720"
"Jake Lamb","Diamondbacks","481","432","113","23","4","12","49","52","41","116","3","4","2"," ",".261",".326",".413",".739",".321"," ","98","0.5","2.7"," ","-0.8","4.2","2.0","13329"
"Luis Valbuena","Astros","459","400","94","20","1","16","52","53","50","95","4","2","1"," ",".234",".323",".411",".734",".321"," ","102","-0.5","-1.0"," ","0.5","-0.6","1.6","4969"
"David Freese"," ","479","429","111","22","1","13","48","54","37","109","7","2","1"," ",".259",".326",".404",".730",".320"," ","102","-2.0","-5.6"," ","-1.2","-3.6","1.1","9549"
"Trevor Plouffe","Twins","542","488","122","27","2","17","60","65","44","107","4","2","1"," ",".249",".314",".419",".733",".319"," ","100","-1.0","-4.9"," ","-1.0","-3.1","1.5","7462"
"Josh Harrison","Pirates","590","549","155","37","3","10","66","58","27","88","6","15","8"," ",".282",".321",".414",".735",".318"," ","104","1.1","-3.4"," ","3.8","-1.2","2.2","8202"
"Brett Lawrie","White Sox","473","433","111","21","2","16","52","57","29","101","5","4","2"," ",".256",".309",".422",".730",".317"," ","98","0.9","-4.2"," ","-0.2","-2.3","1.4","5247"
"Lonnie Chisenhall","Indians","433","395","103","23","1","12","46","50","29","85","4","3","2"," ",".260",".315",".417",".732",".316"," ","100","0.6","3.6"," ","0.3","-1.7","1.4","7571"
"Matt Duffy","Giants","587","541","150","26","4","10","59","60","35","93","5","10","5"," ",".276",".323",".394",".717",".313"," ","104","0.8","7.7"," ","3.4","9.9","3.4","13836"
"Martin Prado","Marlins","530","485","132","26","2","9","52","54","35","67","4","2","1"," ",".273",".325",".392",".717",".312"," ","96","-1.3","2.3"," ","-3.7","4.4","1.8","3312"
"Aramis Ramirez","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".263",".314",".401",".715",".310"," ","99","0.0","0.0"," ","0.0","0.0","0.0","1002"
"Cody Asche","Phillies","266","243","62","13","1","8","25","29","18","60","2","1","1"," ",".254",".307",".410",".717",".309"," ","93","-0.1","-2.2"," ","-2.2","-5.9","0.0","11997"
"Ryan Wheeler","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".267",".305",".407",".712",".309"," ","77","0.0","0.0"," ","0.0","0.0","0.0","9312"
"Hector Olivera","Braves","501","463","121","23","3","12","49","56","28","82","5","2","1"," ",".261",".308",".400",".708",".308"," ","95","-0.2","-0.2"," ","-3.4","-6.0","0.7","17528"
"Brock Holt","Red Sox","343","309","84","17","3","2","37","31","26","63","2","5","3"," ",".272",".331",".365",".696",".307"," ","88","0.9","-1.2"," ","-3.8","-1.7","0.6","9345"
"Eric Chavez","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".249",".307",".399",".707",".307"," ","88","0.0","0.0"," ","0.0","0.0","0.0","906"
"Juan Uribe"," ","298","272","71","14","1","7","29","32","20","60","2","2","1"," ",".260",".312",".395",".708",".307"," ","92","-0.6","3.9"," ","-3.3","5.2","1.2","454"
"Yangervis Solarte","Padres","357","325","85","16","1","7","33","35","25","40","3","1","1"," ",".261",".316",".383",".699",".306"," ","97","-0.8","-3.3"," ","-2.2","-1.9","0.8","5352"
"Danny Valencia","Athletics","438","403","101","22","1","13","46","52","28","91","2","3","2"," ",".250",".300",".410",".710",".306"," ","95","-1.6","-4.1"," ","-4.2","-2.3","0.8","6364"
"Yasmany Tomas","Diamondbacks","520","486","126","25","3","14","51","61","25","129","4","6","4"," ",".260",".298",".409",".707",".305"," ","87","-1.1","-3.5"," ","-8.9","-10.3","-0.3","17171"
"Eric Campbell","Mets","58","50","12","2","0","1","5","5","6","11","1","1","1"," ",".242",".328",".355",".683",".304"," ","96","-0.1","0.1"," ","-0.4","-0.5","0.1","6938"
"Juan Francisco","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".288",".417",".705",".304"," ","89","0.0","0.0"," ","0.0","0.0","0.0","6978"
"Yunel Escobar","Angels","566","511","136","23","1","8","58","51","43","72","5","3","2"," ",".266",".327",".360",".687",".304"," ","96","-2.0","-1.5"," ","-4.9","0.7","1.5","4191"
"Andy Marte","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".256",".301",".403",".704",".304"," ","86","0.0","0.0"," ","0.0","0.0","0.0","3203"
"Josh Satin","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".242",".323",".360",".683",".302"," ","94","0.0","0.0"," ","0.0","0.0","0.0","6788"
"Kevin Kouzmanoff","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".259",".299",".396",".695",".301"," ","83","0.0","0.0"," ","0.0","0.0","0.0","5995"
"Adonis Garcia","Braves","456","429","114","22","1","11","41","51","18","74","3","4","3"," ",".267",".298",".398",".696",".301"," ","90","-0.8","-1.3"," ","-6.4","0.5","0.9","13777"
"Zelous Wheeler","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".247",".300",".389",".689",".301"," ","87","0.0","0.0"," ","0.0","0.0","0.0","8822"
"Matt Duffy","Astros","56","51","13","2","0","1","6","6","3","12","1","0","0"," ",".248",".299",".387",".686",".300"," ","87","0.0","-0.3"," ","-0.8","0.0","0.1","12181"
"Andres Blanco","Phillies","202","184","46","10","1","4","19","19","13","35","2","2","1"," ",".249",".303",".376",".678",".297"," ","85","-0.5","-1.8"," ","-4.0","-0.6","0.2","1907"
"Charlie Culberson","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".257",".294",".395",".689",".297"," ","68","0.0","0.0"," ","0.0","0.0","0.0","3298"
"Scott Sizemore","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".309",".365",".674",".297"," ","84","0.0","0.0"," ","0.0","0.0","0.0","2881"
"Cory Spangenberg","Padres","548","504","131","23","6","7","51","49","34","113","3","17","10"," ",".260",".308",".371",".679",".296"," ","90","0.8","0.2"," ","-5.7","2.3","1.4","12294"
"Kelly Johnson","Braves","168","151","35","6","1","5","16","18","13","41","1","2","1"," ",".233",".297",".380",".677",".296"," ","86","-0.1","-1.7"," ","-2.8","-2.6","0.0","2234"
"Will Middlebrooks","Brewers","246","228","53","9","1","10","25","30","13","60","1","2","1"," ",".233",".276",".410",".687",".296"," ","81","-0.2","0.0"," ","-5.6","-0.8","0.1","7002"
"Mike Olt","White Sox","52","47","10","2","0","2","6","6","4","17","0","0","0"," ",".211",".283",".394",".677",".295"," ","83","0.0","0.1"," ","-1.0","-0.5","0.0","10698"
"Cheslor Cuthbert","Royals","133","122","31","6","0","3","13","14","8","21","1","1","1"," ",".250",".300",".375",".675",".295"," ","83","0.0","0.8"," ","-2.6","-1.8","0.0","10473"
"Richie Shaffer","Rays","99","89","19","4","0","3","10","11","8","28","1","1","0"," ",".217",".289",".388",".676",".294"," ","87","0.1","0.2"," ","-1.4","-1.1","0.1","13271"
