"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Josh Rutledge","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".255",".303",".377",".680",".297"," ","81","0.0","0.0"," ","0.0","0.0","0.0","11167"
"Orlando Arcia","Brewers","88","82","22","4","1","1","8","8","4","12","1","3","2"," ",".264",".301",".382",".683",".297"," ","82","0.0","0.0"," ","-1.9","1.1","0.2","sa596917"
"Erick Aybar","Braves","610","569","154","33","2","6","59","52","29","69","4","13","6"," ",".271",".309",".371",".681",".297"," ","87","1.0","-2.6"," ","-8.6","4.4","1.6","4082"
"Jose Ramirez","Indians","319","291","75","14","2","4","34","29","22","32","1","14","7"," ",".258",".311",".363",".675",".296"," ","86","0.7","2.9"," ","-4.5","4.4","1.1","13510"
"Dean Anna","Cardinals","13","12","3","1","0","0","1","1","1","2","0","0","0"," ",".247",".324",".338",".662",".296"," ","86","0.0","0.0"," ","-0.2","0.1","0.0","8353"
"Christian Colon","Royals","242","221","58","9","1","3","24","22","16","27","2","6","3"," ",".264",".316",".352",".668",".295"," ","83","0.0","-0.3"," ","-4.7","1.0","0.5","11145"
"Aledmys Diaz","Cardinals","7","6","2","0","0","0","1","1","0","1","0","0","0"," ",".254",".297",".379",".676",".294"," ","85","0.0","0.0"," ","-0.1","0.1","0.0","sa803159"
"Marwin Gonzalez","Astros","342","317","80","16","1","7","36","35","17","64","3","5","3"," ",".252",".294",".381",".675",".294"," ","84","-0.6","0.5"," ","-7.1","0.8","0.5","5497"
"Andrelton Simmons","Angels","543","497","129","23","2","8","52","53","35","49","3","5","3"," ",".260",".311",".364",".675",".294"," ","89","-0.5","12.9"," ","-7.6","19.7","3.2","10847"
"Ketel Marte","Mariners","542","501","135","23","3","5","57","44","31","78","2","22","11"," ",".269",".312",".356",".667",".293"," ","87","0.4","0.5"," ","-7.7","6.6","1.8","13613"
"Jordy Mercer","Pirates","464","424","109","24","1","8","41","46","30","79","3","3","2"," ",".256",".307",".374",".681",".293"," ","86","-0.1","-3.0"," ","-7.5","2.9","1.0","6547"
"Jonathan Villar","Brewers","278","251","60","11","2","6","27","26","22","71","2","17","7"," ",".239",".301",".364",".665",".292"," ","79","0.7","0.2"," ","-6.1","1.6","0.4","10071"
"Pat Valaika","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".292",".381",".673",".292"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa708988"
"Reegie Corona","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".308",".355",".663",".292"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa254678"
"Danny Santana","Twins","197","185","49","9","2","2","20","18","7","40","2","8","3"," ",".264",".296",".376",".672",".292"," ","81","0.6","-0.9"," ","-3.7","1.1","0.4","10322"
"Jorge Polanco","Twins","46","42","11","2","0","1","4","4","3","7","0","1","1"," ",".262",".305",".360",".665",".291"," ","81","0.0","0.1"," ","-1.0","0.6","0.1","13152"
"Jimmy Rollins"," ","410","368","87","16","2","8","44","35","34","65","1","11","5"," ",".237",".302",".358",".661",".291"," ","81","0.3","-0.1"," ","-8.6","4.5","1.0","971"
"Rosell Herrera","Rockies","14","13","3","1","0","0","1","1","1","2","0","0","0"," ",".260",".303",".359",".661",".290"," ","64","0.0","0.0"," ","-0.6","0.1","0.0","sa547996"
"Stephen Drew","Nationals","181","162","37","8","1","4","17","19","15","36","1","1","1"," ",".226",".294",".368",".662",".289"," ","80","-0.4","-1.2"," ","-4.6","0.5","0.2","4251"
"Jose Martinez","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".262",".301",".359",".660",".289"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa291098"
"Joe Sclafani","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".256",".315",".338",".653",".289"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa658257"
"Zack Cozart","Reds","501","462","113","23","3","10","46","48","27","76","5","6","3"," ",".245",".291",".373",".664",".288"," ","77","0.5","4.3"," ","-12.8","10.3","1.4","2616"
