"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Delmon Young"," ","206","193","50","9","1","5","21","23","9","40","2","1","1"," ",".261",".297",".394",".691",".300"," ","88","-0.5","-3.3"," ","-3.4","-5.7","-0.3","2140"
"Nick Swisher","Braves","297","260","58","12","1","8","29","29","32","74","2","1","0"," ",".225",".312",".363",".675",".299"," ","88","-0.8","-1.4"," ","-4.8","-7.1","-0.3","4599"
"Adam Dunn","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".205",".306",".375",".681",".299"," ","90","0.0","0.0"," ","0.0","0.0","0.0","319"
"Chris Dickerson","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".243",".312",".366",".679",".298"," ","87","0.0","0.0"," ","0.0","0.0","0.0","7095"
"Dan Johnson","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".309",".368",".677",".298"," ","88","0.0","0.0"," ","0.0","0.0","0.0","2167"
"Corey Hart"," ","201","185","43","8","1","7","21","24","11","53","2","2","1"," ",".234",".286",".402",".688",".297"," ","86","-0.6","-0.8"," ","-4.0","-4.9","-0.3","1945"
"Derek Gibson","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".262",".306",".373",".679",".296"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa830216"
"Steve Clevenger","Mariners","170","155","40","8","1","2","17","16","12","26","1","1","0"," ",".259",".314",".365",".680",".296"," ","89","-0.4","-0.3"," ","-2.6","1.2","0.4","9542"
"Mike Bianucci","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".280",".402",".682",".294"," ","83","0.0","0.0"," ","0.0","0.0","0.0","sa389801"
"Richie Shaffer","Rays","62","55","12","3","0","2","7","7","5","18","1","0","0"," ",".217",".289",".388",".677",".294"," ","87","0.0","-0.1"," ","-0.9","-0.6","0.1","13271"
"Dario Pizzano","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".247",".303",".371",".674",".294"," ","88","0.0","0.0"," ","0.0","0.0","0.0","sa658253"
"Chris Jacobs","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".295",".371",".666",".293"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa389213"
"Jayce Boyd","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".305",".358",".663",".292"," ","88","0.0","0.0"," ","0.0","0.0","0.0","sa502020"
"Tucker Nathans","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".249",".295",".374",".669",".292"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa732567"
"Alexander Burg","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".298",".363",".660",".291"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa502124"
"Charlie Cutler","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".314",".343",".657",".291"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa454748"
"Brian Fletcher","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".284",".384",".668",".291"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa526538"
"Zane Chavez","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".243",".295",".367",".663",".290"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa628321"
"Jimmy Paredes","Orioles","356","334","84","16","2","7","37","35","17","93","1","7","4"," ",".253",".289",".378",".667",".289"," ","78","0.5","-0.5"," ","-8.5","-8.8","-0.6","5481"
"Ian Gac"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".281",".387",".667",".289"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa244078"
"Carlos Rivero","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".297",".366",".663",".289"," ","76","0.0","0.0"," ","0.0","0.0","0.0","1136"
"Lane Adams","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".241",".294",".364",".658",".288"," ","79","0.0","0.0"," ","0.0","0.0","0.0","10767"
"Sandy Madera"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".292",".369",".661",".288"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa208622"
"Brennan Boesch","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".286",".384",".670",".288"," ","77","0.0","0.0"," ","0.0","0.0","0.0","914"
"Jason Giambi","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".290",".368",".658",".288"," ","80","0.0","0.0"," ","0.0","0.0","0.0","818"
"M.P. Cokinos","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".293",".363",".656",".287"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa658820"
"Telvin Nash","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".205",".273",".383",".656",".286"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa501240"
"Andrew Knapp","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".295",".356",".651",".286"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa550140"
"Kyeong Kang","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".289",".364",".654",".286"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa327822"
"Paul Konerko","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".291",".358",".650",".286"," ","77","0.0","0.0"," ","0.0","0.0","0.0","242"
"Brian Van Kirk","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".296",".351",".647",".285"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa262432"
"Rock Shoulders","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".279",".376",".655",".285"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa549485"
"Chun-Hsiu Chen","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".229",".294",".355",".649",".285"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa455954"
"Seth Loman","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".280",".372",".653",".285"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa326152"
"Erik Castro","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".289",".358",".647",".284"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa501648"
"Matt Juengel","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".241",".280",".373",".653",".284"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa658579"
"A.J. Kirby-Jones","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".284",".363",".647",".284"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa548449"
"Brandon Bayardi","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".287",".361",".648",".284"," ","82","0.0","0.0"," ","0.0","0.0","0.0","sa579127"
"Raul Ibanez","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".284",".360",".644",".283"," ","75","0.0","0.0"," ","0.0","0.0","0.0","607"
"Edinson Rincon","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".289",".356",".645",".283"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa397812"
"Jorge Vazquez"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".276",".373",".649",".282"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa491894"
"Vince Belnome","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".304",".327",".631",".281"," ","78","0.0","0.0"," ","0.0","0.0","0.0","8126"
"Alejandro Segovia","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".283",".353",".635",".280"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa504965"
"Chad Tracy","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".277",".364",".640",".280"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa326677"
"Justin Howard","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".289",".345",".634",".279"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa549676"
"Robbie Widlansky","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".237",".293",".340",".633",".279"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa389390"
"David Chester","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".273",".366",".639",".279"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa598680"
