"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Joe Mauer","Twins","568","497","136","28","2","9","63","56","62","100","2","2","1"," ",".274",".355",".390",".745",".323"," ","103","-0.5","2.6"," ","1.7","-8.3","1.3","1857"
"Kennys Vargas","Twins","75","68","17","3","0","3","9","10","6","18","1","0","0"," ",".255",".318",".432",".750",".323"," ","103","0.0","0.0"," ","0.3","-1.9","0.1","12101"
"Mark Canha","Athletics","420","377","98","19","2","12","46","49","32","87","6","4","3"," ",".259",".324",".417",".741",".323"," ","107","0.3","-0.5"," ","3.5","-8.7","0.9","11445"
"Adam Duvall","Reds","387","357","87","16","1","20","43","55","21","94","4","2","1"," ",".243",".291",".464",".756",".323"," ","101","0.5","-2.3"," ","0.9","-5.7","0.8","10950"
"Steve Pearce","Rays","372","331","80","16","1","14","42","45","32","78","5","3","2"," ",".242",".316",".427",".743",".322"," ","107","-0.2","0.9"," ","2.8","-8.6","0.7","9957"
"Mitch Moreland","Rangers","513","465","118","24","1","19","59","66","38","113","5","1","1"," ",".253",".313",".432",".745",".322"," ","97","-1.0","4.8"," ","-2.6","-5.6","0.9","3086"
"Jesus Montero","Mariners","207","192","51","8","1","7","22","26","12","44","1","1","1"," ",".268",".310",".437",".747",".322"," ","107","-0.7","-0.1"," ","0.9","-4.8","0.3","5514"
"Stephen Vogt","Athletics","476","427","111","21","3","13","52","56","41","83","2","2","1"," ",".260",".326",".414",".740",".320"," ","105","-0.4","1.2"," ","2.1","8.3","2.8","5000"
"Clint Robinson","Nationals","168","149","39","8","1","4","18","19","16","30","1","1","0"," ",".261",".335",".397",".732",".320"," ","100","-0.2","-0.5"," ","-0.2","-3.6","0.2","6908"
"Allen Craig","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".265",".330",".398",".728",".319"," ","97","0.0","0.0"," ","0.0","0.0","0.0","3433"
"Justin Bour","Marlins","531","480","123","24","1","19","58","67","43","104","3","2","1"," ",".256",".318",".425",".743",".319"," ","100","-1.9","-3.4"," ","-1.7","-14.1","0.1","9744"
"Justin Morneau"," ","330","300","79","16","2","9","35","40","23","52","3","1","1"," ",".264",".321",".417",".738",".319"," ","100","-1.1","0.6"," ","-1.0","-5.7","0.4","1737"
"Mike Napoli","Indians","377","323","72","15","1","13","42","44","46","104","3","3","2"," ",".224",".324",".399",".724",".317"," ","100","-1.2","2.8"," ","-1.0","-4.9","0.7","3057"
"Jason Rogers","Pirates","132","119","31","6","1","3","13","15","10","25","1","1","0"," ",".262",".323",".403",".726",".317"," ","103","0.0","0.1"," ","0.5","-3.1","0.2","11773"
