"","name","Team","position","marginal.total.points","dollar.value","status"
"104","Chris Johnson","Marlins","third_base",1.17,3.23,""
"105","Nick Ahmed","Diamondbacks","shortstop",1.17,3.22,""
"106","Drew Pomeranz","Padres","pitcher",1.16,3.19,""
"107","Everth Cabrera","Orioles","shortstop",1.15,3.18,""
"108","Rafael Ynoa","Rockies","third_base",1.14,3.14,""
"109","Franklin Barreto","Athletics","shortstop",1.13,3.11,""
"110","Erik Gonzalez","Indians","shortstop",1.11,3.07,""
"111","Reese Mcguire","Pirates","catcher",1.08,2.98,""
"112","Willy Garcia","Pirates","outfield",1.08,2.97,""
"113","Jose Pirela","Padres","second_base",1.05,2.9,""
"114","Dwight Smith","Blue Jays","outfield",1.04,2.87,""
"115","Aaron Hill","Brewers","second_base",1.04,2.87,""
"116","Kyle Parker","Rockies","outfield",1.02,2.8,""
"117","Aramis Ramirez","Pirates","third_base",1,2.76,""
"118","Sergio Romo","Giants","pitcher",1,2.76,""
"119","Malquin Canelo","Phillies","shortstop",1,2.75,""
"120","Andrew Aplin","Astros","outfield",1,2.74,""
"121","Alex Castellanos"," ","outfield",1,2.74,""
"122","Will Middlebrooks","Brewers","third_base",0.99,2.74,""
"123","Daniel Castro","Braves","shortstop",0.97,2.67,""
"124","Jesus Aguilar","Indians","first_base",0.97,2.67,""
"125","Tomas Telis","Marlins","catcher",0.96,2.66,""
"126","Richard Urena","Blue Jays","shortstop",0.96,2.65,""
"127","Matt den Dekker","Nationals","outfield",0.96,2.64,""
"128","Ramon Flores","Brewers","outfield",0.93,2.55,""
"129","Kelvin Herrera","Royals","pitcher",0.92,2.54,""
"130","David Freese"," ","third_base",0.92,2.53,""
"131","Keon Broxton","Brewers","outfield",0.92,2.53,""
"132","Ramon Cabrera","Reds","catcher",0.9,2.46,""
"133","Carson Kelly","Cardinals","catcher",0.89,2.45,""
"134","Bartolo Colon","Mets","pitcher",0.89,2.44,""
"135","Yorman Rodriguez","Reds","outfield",0.87,2.38,""
"136","Alex Presley","Astros","outfield",0.86,2.37,""
"137","Brandon Barnes","Rockies","outfield",0.85,2.33,""
"138","Matthew Clark","Brewers","first_base",0.84,2.31,""
"139","Junior Arias","Reds","outfield",0.84,2.31,""
"140","Cody Stanley","Cardinals","catcher",0.84,2.31,""
"141","Gabby Guerrero","Diamondbacks","outfield",0.84,2.3,""
"142","Juan Perez","Reds","shortstop",0.83,2.28,""
"143","Dayan Viciedo","White Sox","outfield",0.81,2.23,""
"144","Jose Berrios","Twins","pitcher",0.81,2.22,""
"145","Freddy Galvis","Phillies","shortstop",0.8,2.21,""
"146","Tyler Wade","Yankees","shortstop",0.79,2.17,""
"147","Kevin Quackenbush","Padres","pitcher",0.79,2.17,""
"148","Deven Marrero","Red Sox","third_base",0.78,2.15,""
"149","Jason Pridie","Athletics","outfield",0.76,2.1,""
"150","Francisco Pena","Orioles","catcher",0.76,2.1,""
"151","Zachary Davies","Brewers","pitcher",0.75,2.05,""
"152","Luigi Rodriguez","Indians","outfield",0.74,2.03,""
"153","Chase d'Arnaud","Phillies","shortstop",0.74,2.02,""
"154","Andrew Knapp","Phillies","catcher",0.73,2.02,""
"155","Todd Cunningham","Angels","outfield",0.72,1.99,""
"156","Jacob May","White Sox","outfield",0.71,1.96,""
"157","Jason Castro","Astros","catcher",0.71,1.96,""
"158","Grant Green","Angels","second_base",0.71,1.95,""
"159","Adam Engel","White Sox","outfield",0.7,1.93,""
"160","Christian Walker","Orioles","first_base",0.69,1.9,""
"161","Mike Ohlman","Cardinals","catcher",0.68,1.87,""
"162","Tyler Collins","Tigers","outfield",0.67,1.85,""
"163","Jose De Leon","Dodgers","pitcher",0.67,1.85,""
"164","Ryan Casteel","Rockies","catcher",0.67,1.83,""
"165","Eduardo Nunez","Twins","shortstop",0.64,1.75,""
"166","Luis Jimenez","Red Sox","third_base",0.63,1.75,""
"167","Max Moroff","Pirates","shortstop",0.63,1.75,""
"168","Eric Young","Mets","outfield",0.63,1.74,""
"169","Hunter Renfroe","Padres","outfield",0.62,1.71,""
"170","Rossmel Perez","Orioles","catcher",0.62,1.71,""
"171","Travis Wood","Cubs","pitcher",0.61,1.69,""
"172","Ryan Strausborger","Rangers","outfield",0.59,1.62,""
"173","Josh Rutledge","Red Sox","shortstop",0.59,1.62,""
"174","Leury Garcia","White Sox","second_base",0.58,1.59,""
"175","Jarrett Parker","Giants","outfield",0.58,1.59,""
"176","William Swanner","Rockies","catcher",0.57,1.57,""
"177","Zack Cozart","Reds","shortstop",0.57,1.56,""
"178","Boog Powell","Mariners","outfield",0.55,1.52,""
"179","Adam Frazier","Pirates","shortstop",0.54,1.5,""
"180","Kennys Vargas","Twins","first_base",0.54,1.49,""
"181","J.J. Hardy","Orioles","shortstop",0.54,1.48,""
"182","Adrian Marin","Orioles","shortstop",0.51,1.41,""
"183","Jamie Romak","Diamondbacks","outfield",0.51,1.4,""
"184","Matt Andriese","Rays","pitcher",0.51,1.4,""
"185","Phil Gosselin","Diamondbacks","second_base",0.51,1.39,""
"186","Pedro Severino","Nationals","catcher",0.5,1.38,""
"187","Ryan Brett","Rays","second_base",0.5,1.38,""
"188","Darrell Ceciliani","Blue Jays","outfield",0.5,1.36,""
"189","Danny Ortiz","Twins","outfield",0.49,1.34,""
"190","Jordy Mercer","Pirates","shortstop",0.48,1.33,""
"191","Carlos Sanchez","White Sox","second_base",0.48,1.33,""
"192","Eric Campbell","Mets","third_base",0.47,1.29,""
"193","Dixon Machado","Tigers","shortstop",0.46,1.26,""
"194","L.J. Hoes","Astros","outfield",0.45,1.24,""
"195","Cody Reed","Royals","pitcher",0.44,1.22,""
"196","Cody Reed","Royals","pitcher",0.44,1.22,""
"197","Julio Borbon"," ","outfield",0.44,1.2,""
"198","Matt Juengel","Marlins","outfield",0.42,1.15,""
"199","Travis Shaw","Red Sox","first_base",0.41,1.13,""
"200","Kenny Wilson","Marlins","outfield",0.41,1.13,""
"201","Danny Farquhar","Rays","pitcher",0.41,1.13,""
"202","Giovanny Urshela","Indians","third_base",0.4,1.09,""
"203","Marwin Gonzalez","Astros","shortstop",0.39,1.08,""
"204","Kyle Farmer","Dodgers","catcher",0.39,1.06,""
"205","Jorge Alfaro","Phillies","catcher",0.38,1.06,""
"206","Paulo Orlando","Royals","outfield",0.38,1.04,""
"207","Justin Ruggiano","Rangers","outfield",0.37,1.03,""
"208","Ryan Williams","Cubs","pitcher",0.37,1.03,""
"209","Cole Figueroa","Yankees","second_base",0.36,1,""
"210","Josh Collmenter","Diamondbacks","pitcher",0.36,1,""
"211","Nick Franklin","Rays","second_base",0.35,0.97,""
"212","Christian Arroyo","Giants","shortstop",0.35,0.96,""
"213","Jose Martinez","Twins","shortstop",0.35,0.95,""
"214","Omar Infante","Royals","second_base",0.33,0.92,""
"215","Tommy Pham","Cardinals","outfield",0.33,0.91,""
"216","Connor Lien","Braves","outfield",0.33,0.9,""
"217","Jefry Marte","Angels","first_base",0.32,0.89,""
"218","Kevin Plawecki","Mets","catcher",0.32,0.88,""
"219","Corey Brown","Red Sox","outfield",0.3,0.84,""
"220","Joey Terdoslavich","Braves","outfield",0.3,0.82,""
"221","Shane Peterson","Brewers","outfield",0.28,0.77,""
"222","Jordany Valdespin","Marlins","second_base",0.27,0.76,""
"223","Shawn Kelley","Nationals","pitcher",0.27,0.76,""
"224","Junior Lake","Blue Jays","outfield",0.27,0.73,""
"225","Brandon Guyer","Rays","outfield",0.26,0.73,""
"226","Mike Aviles","Tigers","third_base",0.26,0.71,""
"227","Kevan Smith","White Sox","catcher",0.25,0.7,""
"228","Jason Rogers","Pirates","first_base",0.25,0.69,""
"229","Nicholas Tropeano","Angels","pitcher",0.24,0.65,""
"230","Jose Rondon","Padres","shortstop",0.23,0.64,""
"231","Gary Brown","Giants","outfield",0.22,0.61,""
"232","Brett Wallace","Padres","first_base",0.22,0.6,""
"233","Coco Crisp","Athletics","outfield",0.22,0.6,""
"234","Emmanuel Burriss","Nationals","second_base",0.2,0.56,""
"235","Kyle Jensen","Dodgers","outfield",0.2,0.56,""
"236","Yefri Perez","Marlins","outfield",0.2,0.55,""
"237","Sam Dyson","Rangers","pitcher",0.2,0.55,""
"238","Daniel Palka","Diamondbacks","outfield",0.2,0.54,""
"239","Mike O'Neill","Cardinals","outfield",0.18,0.51,""
"240","Reynaldo Navarro","Angels","second_base",0.18,0.5,""
"241","Ross Kivett","Tigers","outfield",0.18,0.49,""
"242","Austin Romine","Yankees","catcher",0.18,0.48,""
"243","Liam Hendriks","Athletics","pitcher",0.16,0.44,""
"244","Brayan Pena","Cardinals","catcher",0.15,0.42,""
"245","Tyler Massey","Rockies","outfield",0.15,0.41,""
"246","Justin Bohn","Marlins","shortstop",0.11,0.3,""
"247","Greg Garcia","Cardinals","shortstop",0.11,0.3,""
"248","Chris Heston","Giants","pitcher",0.1,0.29,""
"249","Richie Shaffer","Rays","third_base",0.1,0.26,""
"250","Tommy La Stella","Cubs","second_base",0.09,0.26,""
"251","Alex Dickerson","Padres","outfield",0.09,0.26,""
"252","Roemon Fields","Blue Jays","outfield",0.09,0.25,""
"253","Clayton Blackburn","Giants","pitcher",0.09,0.25,""
"254","Jarrod Saltalamacchia","Tigers","catcher",0.09,0.24,""
"255","Tyler Marlette","Mariners","catcher",0.08,0.23,""
"256","Luis Sardinas","Mariners","shortstop",0.08,0.23,""
"257","Casey McGehee","Marlins","third_base",0.07,0.19,""
"258","Brent Morel","Pirates","third_base",0.07,0.18,""
"259","Billy Mckinney","Cubs","outfield",0.07,0.18,""
"260","Pedro Ciriaco","Braves","third_base",0.06,0.17,""
"261","Gleyber Torres","Cubs","shortstop",0.05,0.14,""
"262","Steve Clevenger","Mariners","catcher",0.05,0.13,""
"263","Johnny Field","Rays","outfield",0.04,0.11,""
"264","Johnny Monell","Mets","catcher",0.04,0.1,""
"265","Matt Davidson","White Sox","third_base",0.02,0.07,""
"266","Orlando Calixte","Royals","shortstop",0.01,0.04,""
"267","Dean Anna","Cardinals","shortstop",0.01,0.02,""
"268","Edward Easley","Cardinals","catcher",0,-0.01,""
"269","Jake Smolinski","Athletics","outfield",0,-0.01,""
"270","Bud Norris","Braves","pitcher",0,-0.01,""
"271","Tim Cooney","Cardinals","pitcher",-0.01,-0.02,""
"272","Danny Duffy","Royals","pitcher",-0.01,-0.02,""
"273","Alexi Amarista","Padres","shortstop",-0.01,-0.03,""
"274","James Beresford","Twins","shortstop",-0.02,-0.04,""
"275","Carlos Tocci","Phillies","outfield",-0.02,-0.05,""
"276","A.J. Cole","Nationals","pitcher",-0.02,-0.06,""
"277","Victor Roache","Brewers","outfield",-0.03,-0.07,""
"278","J.T. Riddle","Marlins","shortstop",-0.03,-0.08,""
"279","Nick Vincent","Padres","pitcher",-0.03,-0.08,""
"280","David Murphy"," ","outfield",-0.04,-0.11,""
"281","Joey Butler","Indians","outfield",-0.04,-0.12,""
"282","Anthony Alford","Blue Jays","outfield",-0.05,-0.13,""
"283","Matt Reynolds","Mets","shortstop",-0.05,-0.14,""
"284","Robbie Grossman","Astros","outfield",-0.05,-0.15,""
"285","Jacob Scavuzzo","Dodgers","outfield",-0.07,-0.19,""
"286","Shawn O'Malley","Mariners","outfield",-0.07,-0.19,""
"287","Jesse Chavez","Blue Jays","pitcher",-0.07,-0.19,""
"288","Irving Falu","Padres","second_base",-0.07,-0.2,""
"289","Todd Glaesmann","Diamondbacks","outfield",-0.07,-0.2,""
"290","Randall Delgado","Diamondbacks","pitcher",-0.07,-0.2,""
"291","Jason Krizan","Tigers","outfield",-0.08,-0.22,""
"292","Yadiel Rivera","Brewers","shortstop",-0.08,-0.23,""
"293","Mike Zunino","Mariners","catcher",-0.09,-0.24,""
"294","Tony Sanchez","Pirates","catcher",-0.09,-0.24,""
"295","Raywilly Gomez","Angels","catcher",-0.09,-0.25,""
"296","Justin Grimm","Cubs","pitcher",-0.09,-0.26,""
"297","Ryan Cordell","Rangers","outfield",-0.1,-0.27,""
"298","Stryker Trahan","Diamondbacks","catcher",-0.1,-0.27,""
"299","Delmon Young"," ","outfield",-0.11,-0.3,""
"300","Brad Brach","Orioles","pitcher",-0.11,-0.3,""
"301","Daniel Hudson","Diamondbacks","pitcher",-0.12,-0.33,""
"302","David Freitas","Orioles","catcher",-0.13,-0.34,""
"303","Will Harris","Astros","pitcher",-0.12,-0.34,""
"304","J.B. Shuck","White Sox","outfield",-0.13,-0.35,""
"305","Rob Brantly","White Sox","catcher",-0.13,-0.35,""
"306","Zach McAllister","Indians","pitcher",-0.13,-0.35,""
