"","name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"373","Francisco Rodriguez","Tigers","pitcher","1642",48.7,3.33,1.11,0,2,48,-1.53,-4.2,"drafted"
"374","Blaine Hardy","Tigers","pitcher","6499",59.3,3.64,1.3,0,4,56,-1.53,-4.22,""
"375","Kendry Flores","Marlins","pitcher","12118",113.7,4.35,1.35,0,6,83,-1.53,-4.22,""
"376","Henderson Alvarez","Athletics","pitcher","5669",100.3,4.13,1.31,0,6,55,-1.54,-4.24,"drafted"
"377","Vidal Nuno","Mariners","pitcher","9674",118.3,4.56,1.28,0,4,97,-1.54,-4.25,""
"378","Oliver Drake","Orioles","pitcher","8823",48.7,3.33,1.27,0,3,57,-1.55,-4.26,""
"379","Ian Krol","Braves","pitcher","10066",57,3.63,1.26,0,3,61,-1.55,-4.26,""
"380","Michael Tonkin","Twins","pitcher","10315",65,3.88,1.26,1,3,58,-1.55,-4.27,""
"381","Eric Stults"," ","pitcher","8011",136,4.7,1.32,0,7,89,-1.55,-4.28,""
"382","Alex Wilson","Tigers","pitcher","9239",69,3.78,1.26,1,4,42,-1.56,-4.28,""
"383","Greg Nappo","Marlins","pitcher","sa599112",56.7,3.49,1.22,0,3,50,-1.57,-4.31,""
"384","Matt Barnes","Red Sox","pitcher","12863",119,4.61,1.41,0,8,93,-1.57,-4.31,""
"385","Jim Johnson","Braves","pitcher","3656",64,3.94,1.34,2,4,52,-1.57,-4.32,""
"386","Jason Frasor"," ","pitcher","1906",31.3,3.16,1.31,6,1,32,-1.57,-4.33,""
"387","Eric Jokisch","Cubs","pitcher","11157",117.3,4.45,1.37,0,7,82,-1.57,-4.33,""
"388","Jason Motte","Rockies","pitcher","5861",44,4.3,1.27,3,4,36,-1.58,-4.34,""
"389","Fernando Rodriguez","Athletics","pitcher","7558",54,3.83,1.31,2,3,54,-1.59,-4.37,""
"390","Nicholas Goody","Yankees","pitcher","13685",67.7,3.86,1.27,0,2,79,-1.59,-4.38,""
"391","Brandon McCarthy","Dodgers","pitcher","4662",69.7,4.13,1.23,0,4,54,-1.59,-4.39,""
"392","David Carpenter","Nationals","pitcher","3959",49.7,3.44,1.21,0,3,48,-1.6,-4.4,""
"393","David Carpenter","Nationals","pitcher","3959",49.7,3.44,1.21,0,3,48,-1.6,-4.4,""
"394","A.J. Achter","Twins","pitcher","11387",71.3,4.16,1.28,0,4,65,-1.6,-4.4,""
"395","Carlos Frias","Dodgers","pitcher","3547",123,4.32,1.35,0,6,82,-1.6,-4.41,""
"396","J.P. Howell","Dodgers","pitcher","8245",46.7,3.28,1.26,1,3,43,-1.61,-4.42,""
"397","Trevor Cahill","Cubs","pitcher","6249",115,4.38,1.43,1,6,99,-1.61,-4.42,""
"398","Miguel Gonzalez","Orioles","pitcher","7024",141.7,4.76,1.37,0,8,101,-1.61,-4.42,""
"399","Miguel Gonzalez","Orioles","pitcher","7024",141.7,4.76,1.37,0,8,101,-1.61,-4.42,""
"400","Blaine Boyer","Twins","pitcher","2237",60.3,3.73,1.24,0,4,44,-1.61,-4.43,""
"401","Chi Chi Gonzalez","Rangers","pitcher","14663",140.3,4.55,1.45,0,11,81,-1.62,-4.45,""
"402","Josh Hader","Brewers","pitcher","sa658473",104.7,4.47,1.39,0,5,105,-1.62,-4.45,""
"403","James Hoyt","Astros","pitcher","sa659944",55.3,3.58,1.21,0,2,61,-1.62,-4.45,""
"404","Braden Shipley","Diamondbacks","pitcher","sa737506",132.3,4.56,1.41,0,8,97,-1.62,-4.47,""
"405","Evan Marshall","Diamondbacks","pitcher","12297",61,3.84,1.34,0,5,51,-1.63,-4.48,""
"406","Jeremy Mcbryde","Angels","pitcher","sa328275",60.3,4.03,1.34,0,5,56,-1.63,-4.48,""
"407","Steven Okert","Giants","pitcher","sa550187",66.3,3.8,1.31,0,3,70,-1.63,-4.5,""
"408","Steven Wright","Red Sox","pitcher","8185",110,4.58,1.36,0,7,78,-1.64,-4.5,""
"409","Nick Rumbelow","Yankees","pitcher","14867",65.7,4.39,1.28,0,4,69,-1.64,-4.5,""
"410","Tyler Skaggs","Angels","pitcher","10190",92.7,4.08,1.36,0,5,72,-1.64,-4.52,""
"411","Martin Perez","Rangers","pitcher","6902",108.3,4.4,1.37,0,7,71,-1.64,-4.52,""
"412","Deck Mcguire","Dodgers","pitcher","sa548174",134.3,4.62,1.37,0,7,98,-1.65,-4.53,""
"413","Bryan Morris","Marlins","pitcher","10234",66.7,3.78,1.39,1,5,50,-1.65,-4.53,""
"414","Matt West","Dodgers","pitcher","7980",61.3,3.82,1.24,0,3,57,-1.65,-4.54,""
"415","Cory Mazzoni","Padres","pitcher","12537",63.3,3.84,1.26,0,3,61,-1.65,-4.54,""
"416","Jordan Walden","Cardinals","pitcher","3271",33.7,2.94,1.22,2,2,39,-1.65,-4.54,""
"417","Trevor Gott","Nationals","pitcher","15046",71.3,3.79,1.36,0,5,54,-1.66,-4.57,""
"418","Samuel Tuivailala","Cardinals","pitcher","13485",61.3,3.52,1.37,0,3,71,-1.66,-4.58,""
"419","Jordan Jankowski","Astros","pitcher","sa658942",62.7,4.02,1.42,0,5,69,-1.67,-4.59,""
"420","Nick Kingham","Pirates","pitcher","sa548285",88.7,4.06,1.31,0,4,68,-1.67,-4.6,""
"421","Paolo Espino","Nationals","pitcher","sa327124",129.7,4.72,1.33,0,6,97,-1.68,-4.61,""
"422","Ryan Tepera","Blue Jays","pitcher","10291",63.3,4.12,1.28,0,4,58,-1.69,-4.65,""
"423","Rich Hill","Athletics","pitcher","4806",84,4.29,1.44,0,6,81,-1.69,-4.66,"drafted"
"424","Jean Machi","Red Sox","pitcher","3220",58.7,3.68,1.23,0,3,49,-1.7,-4.69,""
"425","Taylor Hill","Nationals","pitcher","12515",138,4.57,1.33,0,7,78,-1.71,-4.71,""
"426","Colin Rea","Padres","pitcher","12317",118.7,4.25,1.4,0,6,88,-1.71,-4.71,""
"427","Jose Urena","Marlins","pitcher","11589",134.7,4.41,1.37,0,7,82,-1.72,-4.72,""
"428","Tyler Thornburg","Brewers","pitcher","10688",64.7,4.04,1.39,3,3,60,-1.73,-4.75,""
"429","Carl Edwards","Cubs","pitcher","13607",47,3.45,1.43,0,4,59,-1.74,-4.8,""
"430","Marco Gonzales","Cardinals","pitcher","15467",109,4.38,1.35,0,5,84,-1.75,-4.81,""
"431","Kris Medlen","Royals","pitcher","9417",109,4.54,1.34,0,6,76,-1.75,-4.81,"drafted"
"432","Jared Hughes","Pirates","pitcher","9325",62.7,3.59,1.32,1,4,38,-1.75,-4.82,""
"433","Neil Ramirez","Cubs","pitcher","7677",33.7,2.94,1.22,0,3,39,-1.76,-4.84,""
"434","Mike Broadway","Giants","pitcher","9894",42.3,3.19,1.16,0,2,44,-1.76,-4.85,""
"435","John Leathersich","Mets","pitcher","12562",45.7,3.35,1.31,0,2,65,-1.76,-4.85,""
"436","Jorge Rondon","Orioles","pitcher","5791",67.3,3.74,1.32,0,4,51,-1.76,-4.86,""
"437","Brian Johnson","Red Sox","pitcher","14272",104,4.5,1.43,0,7,85,-1.77,-4.87,""
"438","Brooks Brown","Rockies","pitcher","5679",61.3,3.52,1.24,0,2,55,-1.77,-4.88,""
"439","Mat Latos","White Sox","pitcher","3815",131.7,4.65,1.38,0,6,108,-1.78,-4.89,""
"440","Vin Mazzaro","Marlins","pitcher","5231",63,3.57,1.33,0,4,47,-1.78,-4.89,""
"441","Abel De Los Santos","Nationals","pitcher","12962",59.7,4.07,1.29,0,4,53,-1.78,-4.91,""
"442","John Axford","Athletics","pitcher","9059",54.7,4.12,1.46,1,5,58,-1.8,-4.95,""
"443","Erik Johnson","White Sox","pitcher","12520",141.7,4.7,1.45,0,8,120,-1.8,-4.96,""
"444","Paco Rodriguez","Dodgers","pitcher","13398",35.7,3.28,1.23,0,3,42,-1.8,-4.96,""
"445","Jake Petricka","White Sox","pitcher","10534",70.7,3.95,1.36,1,4,55,-1.81,-4.97,""
"446","Neal Cotts","Astros","pitcher","1797",59,3.97,1.27,0,3,58,-1.81,-4.99,""
"447","Matt Bowman","Cardinals","pitcher","sa658240",129.7,4.65,1.4,0,8,87,-1.81,-4.99,""
"448","Colby Lewis","Rangers","pitcher","1259",128.7,4.9,1.37,0,8,89,-1.82,-5.02,"drafted"
"449","Dean Kiekhefer","Cardinals","pitcher","sa526393",63.3,3.84,1.2,0,3,41,-1.83,-5.03,""
"450","Blake Cooper","Cubs","pitcher","sa549089",64.3,3.92,1.4,0,5,55,-1.83,-5.03,""
"451","David Carpenter","Braves","pitcher","9244",56.7,3.49,1.32,0,3,53,-1.83,-5.03,""
"452","David Carpenter","Braves","pitcher","9244",56.7,3.49,1.32,0,3,53,-1.83,-5.03,""
"453","Jeff Manship","Indians","pitcher","6865",56.3,3.67,1.26,1,2,51,-1.84,-5.05,""
"454","John Gant","Braves","pitcher","sa599212",126,4.57,1.42,0,6,111,-1.84,-5.06,""
"455","Kyle Crockett","Indians","pitcher","15033",50.7,3.55,1.2,0,2,49,-1.84,-5.06,""
"456","Rex Brothers","Cubs","pitcher","9794",58.3,3.55,1.49,0,4,70,-1.84,-5.07,""
"457","Reinier Roibal","Phillies","pitcher","sa553503",60,4.35,1.27,0,4,54,-1.84,-5.08,""
"458","Edwin Escobar","Red Sox","pitcher","10337",76,4.62,1.29,0,5,58,-1.86,-5.11,""
"459","Cam Bedrosian","Angels","pitcher","13360",68.3,3.69,1.36,0,2,78,-1.86,-5.11,""
"460","Brian Ellington","Marlins","pitcher","17233",63,3.71,1.38,0,4,56,-1.86,-5.11,""
"461","Artie Reyes","Cardinals","pitcher","sa739006",127.7,4.44,1.43,0,8,82,-1.86,-5.13,""
"462","Matt Belisle","Cardinals","pitcher","1837",47.7,3.59,1.3,0,4,38,-1.87,-5.14,""
"463","Matt Grace","Nationals","pitcher","11449",67.7,3.72,1.34,0,4,49,-1.87,-5.15,""
"464","Ryan Madson","Athletics","pitcher","1852",29.7,3.34,1.21,4,1,29,-1.87,-5.15,""
"465","Chaz Roe","Orioles","pitcher","9866",60,3.9,1.35,0,4,54,-1.88,-5.17,""
"466","Kenneth Roberts","Phillies","pitcher","10938",58.7,3.99,1.28,0,4,44,-1.88,-5.18,""
"467","Allen Webster","Diamondbacks","pitcher","3993",131,4.4,1.39,0,6,91,-1.88,-5.19,""
"468","Hiram Burgos","Brewers","pitcher","9412",89.3,4.43,1.39,0,5,80,-1.89,-5.19,""
"469","Enrique Burgos","Diamondbacks","pitcher","3895",53.7,3.86,1.4,0,3,71,-1.9,-5.22,""
"470","Andrew Triggs","Orioles","pitcher","sa549679",61.7,3.79,1.26,0,3,47,-1.9,-5.22,""
"471","Kyle Kendrick","Rockies","pitcher","6230",153,4.82,1.37,0,8,98,-1.9,-5.23,""
"472","Heath Hembree","Red Sox","pitcher","11632",59.7,3.92,1.31,0,3,59,-1.9,-5.24,""
"473","Edward Mujica","Athletics","pitcher","3970",53.3,4.05,1.2,0,3,44,-1.91,-5.25,""
"474","Ian Thomas","Dodgers","pitcher","13881",68.7,4.33,1.34,0,4,66,-1.91,-5.25,""
"475","Casey Janssen","Nationals","pitcher","7355",44,3.68,1.18,0,3,35,-1.91,-5.26,""
"476","Justin Masterson"," ","pitcher","2038",114.3,4.57,1.46,0,7,99,-1.91,-5.26,""
"477","Matt Boyd","Tigers","pitcher","15440",125.7,4.66,1.39,0,6,101,-1.92,-5.27,""
"478","Jake Diekman","Rangers","pitcher","5003",65.3,4.13,1.42,2,3,68,-1.92,-5.27,""
"479","Zac Rosscup","Cubs","pitcher","9419",46.7,3.47,1.31,0,2,59,-1.93,-5.3,""
"480","C.J. Riefenhauser","Rays","pitcher","11193",58,3.88,1.33,0,4,47,-1.93,-5.31,""
"481","Colton Murray","Phillies","pitcher","12264",75.3,4.42,1.42,0,5,75,-1.94,-5.34,""
