"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Taylor Featherston","Angels","119","399","368","81","17","3","8","42","32","20","109","5","8","4",".220",".268",".348",".616",".268","4.0","-0.1","0.2","12590"
"Marco Scutaro","Giants","34","132","121","29","5","1","1","14","9","7","14","1","1","1",".240",".285",".322",".607",".268","-4.0","-0.3","-0.4","1555"
"Skip Schumaker","Reds","105","267","244","58","14","0","1","23","21","19","49","1","2","1",".238",".294",".307",".602",".267","-6.0","-0.1","-1.1","3704"
"Brandon Hicks","Giants","81","294","267","51","12","2","9","31","31","22","108","3","2","1",".191",".259",".352",".611",".267","2.0","-0.1","0.2","4003"
"Brooks Conrad","Padres","63","240","218","44","11","1","6","27","27","17","74","3","1","1",".202",".267",".344",".611",".267","-4.0","-0.3","-0.4","3664"
"Ryan Goins","Blue Jays","142","517","472","111","22","3","5","47","48","30","108","1","3","3",".235",".280",".326",".606",".267","4.0","-0.8","0.0","9807"
"Munenori Kawasaki","Blue Jays","93","282","247","57","9","2","0","25","17","23","46","3","4","2",".231",".303",".283",".586",".266","4.0","-0.1","0.2","13047"
"Leury Garcia","White Sox","104","352","326","79","11","3","3","36","23","16","88","2","21","7",".242",".280",".322",".602",".265","-2.0","1.3","-0.1","5913"
"Donovan Solano","Marlins","112","360","333","82","12","1","3","32","31","16","67","4","2","1",".246",".287",".315",".602",".265","-2.0","-0.2","-0.2","8623"
"Emilio Bonifacio","Braves","91","304","280","67","10","2","2","33","19","18","66","1","16","6",".239",".287",".311",".597",".264","-2.0","0.7","-0.4","4054"
"Cliff Pennington","Angels","94","268","235","52","8","1","2","24","18","25","54","2","5","1",".221",".299",".289",".589",".264","3.0","0.5","0.4","3395"
"Kristopher Negron","Reds","107","356","323","69","12","2","6","33","28","20","95","6","8","2",".214",".271",".319",".590",".262","0.0","0.7","0.0","5306"
"Steve Lombardozzi","Pirates","114","391","363","90","14","1","1","33","24","20","54","2","8","3",".248",".289",".300",".589",".261","-7.0","0.2","-1.2","5422"
"Ryan Jackson","Angels","95","354","316","71","11","1","3","29","23","28","82","1","2","1",".225",".288",".294",".582",".261","-2.0","-0.2","-0.4","6596"
"Alberto Gonzalez"," ","57","206","195","47","8","1","2","18","17","7","28","1","1","1",".241",".270",".323",".593",".260","-2.0","-0.3","-0.3","4906"
"Elliot Johnson","Indians","82","262","240","51","11","3","3","25","22","18","69","1","8","2",".213",".269",".321",".590",".259","1.0","0.7","0.2","4751"
"Hector Gomez","Brewers","104","326","305","66","16","4","5","31","28","11","80","4","3","3",".216",".252",".344",".596",".258","-2.0","-0.7","-0.3","2264"
"Yadiel Rivera","Brewers","139","527","494","114","17","5","5","48","40","21","117","5","9","8",".231",".268",".316",".584",".257","5.0","-1.6","-0.2","11863"
"Ramon Santiago","Reds","55","173","153","34","5","0","1","14","11","13","32","2","1","1",".222",".290",".275",".564",".257","0.0","-0.3","-0.3","1417"
"Gregorio Petit","Yankees","101","379","356","81","17","1","5","37","33","16","75","2","1","2",".228",".263",".323",".586",".256","3.0","-0.7","0.3","3812"
"Jonathan Herrera"," ","71","170","156","37","5","1","1","20","14","8","29","1","2","2",".237",".277",".301",".578",".254","-3.0","-0.5","-0.7","4182"
"Luis Sardinas","Mariners","141","538","510","120","18","4","1","48","34","21","93","1","13","4",".235",".266",".292",".559",".246","-3.0","0.8","-0.7","13153"
"Nick Noonan","Giants","109","391","363","77","15","1","4","35","27","21","107","2","3","2",".212",".257",".292",".549",".242","4.0","-0.3","-0.1","6880"
"Josh Wilson","Tigers","97","326","304","65","12","1","3","29","26","14","88","4","4","2",".214",".256",".289",".546",".242","2.0","-0.1","-0.7","2102"
"Guilder Rodriguez","Rangers","71","282","257","59","5","0","0","24","13","20","46","0","7","5",".230",".284",".249",".533",".242","0.0","-0.7","-1.0","3412"
"Robert Andino"," ","86","328","305","65","12","1","3","29","23","17","77","1","2","2",".213",".255",".289",".544",".241","1.0","-0.5","-0.9","4900"
"Rafael Furcal","Marlins","14","58","54","13","1","0","0","6","3","3","10","0","1","0",".241",".276",".259",".535",".239","-4.0","0.2","-0.5","88"
"Willie Bloomquist","Mariners","36","88","85","19","3","0","0","7","8","2","19","1","1","1",".224",".250",".259",".509",".227","-7.0","-0.2","-1.0","1066"
