"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Matt Carpenter","Cardinals","145","628","541","147","36","4","16","93","71","73","118","7","4","3",".272",".362",".442",".804",".349","-5.0","-0.7","3.5","8090"
"Ben Zobrist","Cubs","129","560","488","133","31","4","14","76","56","64","70","2","7","4",".273",".356",".439",".795",".344","-3.0","-0.5","2.9","7435"
"Rougned Odor","Rangers","156","607","553","151","26","10","20","71","78","31","96","13","9","9",".273",".324",".465",".789",".338","-4.0","-2.0","2.3","12282"
"Robinson Cano","Mariners","149","641","583","170","33","1","17","77","79","49","87","5","5","4",".292",".349",".439",".789",".338","-3.0","-0.9","3.5","3269"
"Anthony Rendon","Nationals","120","512","452","122","27","3","13","67","52","49","94","5","6","2",".270",".344",".429",".774",".337","4.0","0.2","3.1","12861"
"Jose Altuve","Astros","156","693","644","199","38","4","11","85","64","34","67","6","40","11",".309",".346",".432",".778",".335","-3.0","3.3","3.7","5417"
"Neil Walker","Mets","138","562","502","131","27","3","19","68","71","45","101","9","3","2",".261",".330",".440",".770",".332","-3.0","-0.4","2.8","7539"
"Devon Travis","Blue Jays","106","430","390","104","23","3","13","53","53","30","74","5","7","3",".267",".325",".441",".766",".332","1.0","0.0","2.2","13862"
"Jason Kipnis","Indians","140","622","550","151","34","5","11","78","61","58","111","5","20","7",".275",".346",".415",".760",".330","-2.0","0.9","3.0","9776"
"Brian Dozier","Twins","147","649","574","140","33","3","24","90","70","59","127","7","14","5",".244",".318",".437",".756",".327","-1.0","0.6","2.9","9810"
"Dustin Pedroia","Red Sox","118","532","480","134","28","1","9","57","51","44","62","2","7","4",".279",".339",".398",".737",".322","5.0","-0.4","2.4","8370"
"Daniel Murphy","Nationals","142","606","565","161","36","3","12","76","74","34","68","2","10","3",".285",".325",".423",".748",".321","-7.0","0.5","1.6","4316"
"Javier Baez","Cubs","128","526","483","120","22","3","22","66","71","31","152","7","18","6",".248",".301",".443",".744",".320","-6.0","1.0","1.9","12979"
"Ian Kinsler","Tigers","143","640","591","164","33","5","12","85","72","38","73","5","11","6",".277",".324",".411",".735",".320","7.0","-0.5","3.2","6195"
"Derek Dietrich","Marlins","122","460","408","98","21","4","14","63","45","29","112","19","1","2",".240",".318",".414",".732",".319","-6.0","-0.8","0.3","10542"
"Jonathan Schoop","Orioles","115","429","405","106","19","0","18","47","50","14","104","6","2","1",".262",".295",".442",".737",".318","3.0","-0.2","1.9","11265"
"Logan Forsythe","Rays","122","449","398","101","20","2","11","50","44","38","86","8","7","2",".254",".328",".397",".725",".318","1.0","0.4","2.1","7185"
"Howie Kendrick","Dodgers","129","545","508","145","26","4","9","64","62","29","88","4","8","3",".285",".328",".406",".733",".317","-3.0","0.2","1.9","4229"
"Joe Panik","Giants","132","568","517","143","26","4","7","68","49","40","63","4","4","3",".277",".331",".383",".714",".313","1.0","-0.7","2.4","11936"
"DJ LeMahieu","Rockies","150","593","544","156","22","6","6","62","51","39","98","2","20","7",".287",".335",".382",".717",".313","5.0","0.9","1.3","9874"
"Addison Russell","Cubs","132","500","460","116","26","3","14","61","59","34","126","3","7","3",".252",".307",".413",".720",".312","4.0","0.0","2.4","14106"
"Rob Refsnyder","Yankees","126","539","484","120","26","3","13","61","56","44","105","7","10","4",".248",".318",".395",".712",".312","-1.0","0.2","1.7","13770"
"Tommy La Stella","Cubs","92","343","307","82","17","2","4","32","36","29","36","3","4","1",".267",".333",".375",".708",".311","-3.0","0.2","0.8","12371"
"Aaron Hill","Brewers","113","416","379","97","20","2","11","43","51","29","63","3","5","3",".256",".310",".406",".716",".310","-2.0","-0.4","0.8","6104"
"Jedd Gyorko","Cardinals","133","522","479","120","22","0","18","56","74","34","111","5","1","2",".251",".305",".409",".714",".310","-2.0","-0.8","1.4","10816"
"Dee Gordon","Marlins","140","606","565","165","20","9","3","81","40","31","94","3","53","18",".292",".331",".375",".706",".309","2.0","3.2","2.3","8203"
"Scooter Gennett","Brewers","146","539","508","141","28","4","10","61","52","21","87","3","5","4",".278",".309",".407",".716",".308","-1.0","-0.8","1.1","10339"
"Cory Spangenberg","Padres","119","429","388","101","18","9","6","49","35","28","96","2","13","6",".260",".312",".399",".711",".308","0.0","0.1","1.5","12294"
"Dilson Herrera","Mets","133","569","520","131","24","4","15","68","62","38","122","5","14","6",".252",".307",".400",".707",".307","1.0","0.2","2.1","14335"
"Kolten Wong","Cardinals","143","571","525","137","24","5","11","68","56","32","89","9","18","5",".261",".313",".389",".701",".306","4.0","1.4","2.2","12532"
"Jose Ramirez","Indians","141","568","511","134","27","5","8","70","49","41","59","1","22","9",".262",".316",".382",".698",".305","4.0","0.6","2.1","13510"
"Jordany Valdespin","Marlins","95","306","277","71","11","2","6","35","31","21","44","3","9","6",".256",".315",".375",".690",".303","-5.0","-0.7","-0.3","5098"
"Rickie Weeks","Mariners","80","254","224","49","12","1","6","26","26","24","64","6","3","2",".219",".311",".362",".673",".300","-4.0","-0.3","-0.4","1849"
"Phil Gosselin","Diamondbacks","106","393","366","97","20","3","6","44","36","17","70","4","4","2",".265",".303",".385",".689",".299","1.0","-0.2","0.7","10953"
"Brandon Phillips","Reds","131","556","518","140","20","1","11","61","66","25","70","6","11","3",".270",".309",".376",".685",".298","3.0","0.8","1.4","791"
"Trea Turner","Nationals","121","483","445","115","19","5","8","56","47","31","110","1","20","6",".258",".306",".378",".683",".298","4.0","1.4","1.9","16252"
"Andres Blanco","Phillies","96","284","258","64","15","2","5","29","22","18","50","3","2","3",".248",".304",".380",".683",".298","-5.0","-0.9","0.1","1907"
"Cesar Hernandez","Phillies","137","500","457","123","18","7","2","58","39","36","99","1","17","7",".269",".323",".352",".675",".297","-5.0","0.4","0.5","10556"
"Donnie Murphy","Rangers","77","255","231","53","10","1","8","28","30","17","65","5","1","1",".229",".294",".385",".679",".296","-2.0","-0.3","0.1","4704"
"Christian Colon","Royals","109","434","396","106","16","1","5","44","33","27","46","3","11","4",".268",".318",".351",".669",".296","-1.0","0.4","1.1","11145"
"Jose Pirela","Padres","119","480","443","112","20","5","8","55","42","28","69","4","8","3",".253",".301",".375",".676",".296","-4.0","0.2","0.7","5485"
"Nick Franklin","Rays","121","465","417","96","18","3","12","54","47","41","119","1","8","3",".230",".299",".374",".673",".295","-2.0","0.2","0.9","10166"
"Jurickson Profar","Rangers","76","320","288","68","15","3","6","33","29","25","58","3","8","4",".236",".302",".372",".673",".295","-2.0","-0.1","0.2","10815"
"Corban Joseph"," ","86","344","319","80","13","1","8","38","36","20","48","2","2","3",".251",".298",".373",".671",".294","-2.0","-0.9","0.2","5503"
"Arismendy Alcantara","Cubs","141","585","537","124","26","9","16","69","63","37","166","1","19","6",".231",".280",".402",".682",".294","1.0","1.2","1.2","10711"
"Brandon Drury","Diamondbacks","152","646","606","154","37","2","12","64","68","29","111","6","4","6",".254",".293",".381",".674",".293","5.0","-1.8","1.0","11615"
"Greg Garcia","Cardinals","130","463","407","97","20","3","4","47","34","42","91","8","10","3",".238",".321",".332",".653",".292","3.0","0.6","1.5","10951"
"Ryan Roberts","Red Sox","97","383","351","85","19","1","8","38","38","27","67","1","2","4",".242",".296",".370",".666",".291","0.0","-1.3","0.6","5653"
"Chase Utley","Dodgers","114","464","415","98","25","4","8","48","52","32","67","10","5","0",".236",".302",".373",".675",".291","0.0","0.8","0.9","1679"
"Cole Figueroa","Yankees","116","473","430","113","18","3","4","46","39","32","33","2","4","2",".263",".313",".347",".660",".290","-2.0","-0.2","0.6","8790"
"Grant Green","Angels","116","468","441","116","24","4","6","50","45","18","93","3","3","4",".263",".294",".376",".670",".290","-3.0","-1.2","-0.1","10053"
"Stephen Drew","Nationals","111","394","352","77","19","3","10","36","42","36","80","1","1","1",".219",".291",".375",".666",".290","0.0","-0.3","0.4","4251"
"Johnny Giavotella","Angels","130","528","482","124","25","3","5","57","50","34","65","3","7","3",".257",".307",".353",".660",".290","-5.0","0.0","0.6","6740"
"Ryan Flaherty","Orioles","96","306","275","61","11","2","9","33","35","23","73","4","1","0",".222",".289",".375",".664",".289","0.0","0.1","0.4","7888"
"Josh Rutledge","Red Sox","129","475","437","106","23","4","8","48","41","24","115","7","7","3",".243",".290",".368",".659",".287","-6.0","0.0","0.1","11167"
"Daniel Descalso","Rockies","108","250","223","53","10","2","4","27","24","21","45","2","3","3",".238",".308",".354",".662",".287","-5.0","-0.7","-0.7","8392"
"Darnell Sweeney","Phillies","134","574","521","120","24","5","12","62","55","43","165","3","19","12",".230",".291",".365",".656",".287","-7.0","-1.1","-0.3","13284"
"Tommy Field","Rangers","105","433","389","89","18","2","9","45","37","33","95","5","5","1",".229",".295",".355",".649",".287","1.0","0.4","0.6","6262"
"Ronald Torreyes","Yankees","132","523","485","130","20","4","4","54","42","20","42","5","6","6",".268",".302",".351",".653",".286","2.0","-1.4","1.0","11400"
"Micah Johnson","Dodgers","116","502","463","115","18","5","8","56","44","28","107","2","25","11",".248",".292",".361",".653",".286","-3.0","0.5","0.5","13809"
"Alberto Callaspo"," ","111","369","330","81","13","0","5","33","34","34","41","0","0","1",".245",".313",".330",".643",".286","-4.0","-0.6","0.0","3336"
"Ivan De Jesus","Reds","116","416","379","92","17","4","5","38","40","31","97","2","2","2",".243",".301",".348",".649",".286","0.0","-0.6","0.2","9886"
"Chris Owings","Diamondbacks","138","538","505","128","26","6","7","59","48","24","121","2","15","3",".253",".289",".370",".659",".286","2.0","1.6","0.6","10030"
"Jace Peterson","Braves","130","524","465","110","19","6","5","58","46","47","101","3","17","9",".237",".309",".335",".644",".285","2.0","-0.4","0.7","12325"
"Danny Espinosa","Nationals","120","435","395","88","20","2","11","49","37","27","127","9","7","2",".223",".286",".367",".653",".284","6.0","0.4","1.0","9219"
"Dan Uggla"," ","82","266","230","45","8","1","7","28","33","31","80","4","1","1",".196",".301",".330",".631",".283","-5.0","-0.3","-0.4","3442"
"Jose Peraza","Reds","127","562","528","140","16","9","7","63","53","16","64","3","34","8",".265",".288",".369",".657",".283","4.0","3.4","1.0","13593"
"Hanser Alberto","Rangers","133","494","468","125","21","4","6","50","43","11","56","3","9","7",".267",".287",".368",".654",".283","7.0","-1.2","1.1","11902"
"Emmanuel Burriss","Nationals","102","416","381","96","12","4","4","42","31","24","52","5","10","6",".252",".303",".336",".639",".282","-2.0","-0.6","0.3","2917"
"Gordon Beckham","Braves","118","395","362","87","20","0","7","44","33","23","61","4","3","1",".240",".290",".354",".644",".282","2.0","0.0","0.5","9015"
"Steve Tolleson","Blue Jays","76","227","203","48","9","1","3","24","17","17","51","2","5","2",".236",".299",".335",".634",".281","0.0","0.1","0.1","4450"
"Reynaldo Navarro","Angels","118","489","455","113","22","2","8","51","42","24","73","1","4","5",".248",".285",".358",".643",".281","4.0","-1.4","1.0","6008"
"Tyler Pastornicky","Braves","101","375","348","89","15","2","3","38","28","20","56","2","5","3",".256",".298",".336",".635",".280","-2.0","-0.4","-0.1","6777"
"Hernan Perez","Brewers","134","458","435","113","21","4","5","40","37","15","74","1","13","4",".260",".285",".361",".646",".280","4.0","0.8","0.5","5751"
"Kevin Frandsen","Giants","114","366","338","86","13","1","3","32","28","13","32","10","2","2",".254",".300",".325",".626",".277","-6.0","-0.6","-0.3","7528"
"Wilmer Difo","Nationals","118","482","455","112","21","4","7","49","45","19","100","4","22","5",".246",".281",".356",".637",".277","2.0","2.2","0.9","14320"
"Ryan Brett","Rays","99","420","395","97","18","3","6","45","34","16","86","5","12","6",".246",".282",".352",".634",".277","2.0","-0.1","0.6","12138"
"Tim Beckham","Rays","85","303","277","65","11","3","5","32","30","18","80","2","5","3",".235",".282",".350",".633",".277","-2.0","-0.3","0.0","7949"
"Chris Valaika","Cubs","108","387","356","83","17","1","8","37","39","19","86","5","2","2",".233",".279",".354",".633",".276","0.0","-0.5","0.3","1165"
"Cord Phelps","Orioles","104","412","372","85","13","2","6","42","35","35","83","1","4","3",".228",".295",".323",".618",".275","-2.0","-0.6","-0.3","8631"
"Jemile Weeks","Red Sox","95","386","345","79","14","4","2","39","22","33","70","3","8","2",".229",".301",".310",".611",".275","-2.0","0.6","0.1","2498"
"Maicer Izturis","Blue Jays","35","124","114","29","4","0","1","11","9","8","12","0","2","1",".254",".301",".316",".617",".274","-3.0","-0.1","-0.3","2437"
"Omar Infante","Royals","124","488","463","117","22","5","5","44","50","17","61","1","5","2",".253",".278",".354",".633",".274","1.0","0.0","0.1","1609"
"Darwin Barney","Blue Jays","119","425","391","94","18","1","6","43","41","23","56","4","4","2",".240",".287",".338",".625",".274","5.0","-0.2","0.5","2430"
"Ramiro Pena","Braves","89","295","269","67","12","1","3","28","22","17","44","1","1","2",".249",".293",".335",".628",".274","-3.0","-0.7","0.1","8841"
"Ehire Adrianza","Giants","97","331","294","66","12","2","3","33","24","26","68","4","7","3",".224",".295",".310",".605",".272","3.0","0.1","0.8","8418"
"Irving Falu","Padres","112","452","411","101","13","4","3","42","31","29","49","1","11","8",".246",".295",".319",".614",".271","-1.0","-1.2","-0.5","6165"
"Eric Sogard","Athletics","116","370","338","83","13","2","2","38","32","24","44","2","7","3",".246",".298",".314",".611",".271","2.0","0.0","0.3","7927"
"Elian Herrera","Brewers","120","430","398","95","19","3","4","43","35","24","92","2","7","2",".239",".284",".332",".616",".270","-2.0","0.4","-0.1","5432"
"Alexi Casilla","Orioles","79","273","255","63","11","1","2","28","23","14","44","1","8","3",".247",".288",".322",".609",".270","1.0","0.3","0.0","5248"
"Carlos Sanchez","White Sox","142","570","527","126","24","3","6","57","43","27","115","5","10","5",".239",".281",".330",".611",".269","5.0","-0.2","0.3","11602"
"Daniel Castro","Braves","147","548","514","132","20","3","4","57","42","20","62","1","5","4",".257",".284",".331",".615",".269","2.0","-0.8","0.4","15450"
"Kelby Tomlinson","Giants","127","518","472","113","15","4","3","52","39","34","110","4","20","9",".239",".294",".307",".602",".269","0.0","0.2","0.2","13005"
